,strikePrice_CE,expiryDate_CE,underlying_CE,identifier_CE,openInterest_CE,changeinOpenInterest_CE,pchangeinOpenInterest_CE,totalTradedVolume_CE,impliedVolatility_CE,lastPrice_CE,change_CE,pChange_CE,totalBuyQuantity_CE,totalSellQuantity_CE,bidQty_CE,bidprice_CE,askQty_CE,askPrice_CE,underlyingValue_CE,strikePrice_PE,expiryDate_PE,underlying_PE,identifier_PE,openInterest_PE,changeinOpenInterest_PE,pchangeinOpenInterest_PE,totalTradedVolume_PE,impliedVolatility_PE,lastPrice_PE,change_PE,pChange_PE,totalBuyQuantity_PE,totalSellQuantity_PE,bidQty_PE,bidprice_PE,askQty_PE,askPrice_PE,underlyingValue_PE
72,20950,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE20950.00,9996,6803,213.0598183526464,104906,23.75,0.05,-0.2,-80,29050,113200,29050,0.05,40400,0.1,20133.15,20950,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE20950.00,1,1,0,4,35.2,814.95,-681.95,-45.557485469971276,6900,6900,600,801.4,600,831.7,20133.15
73,21000,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE21000.00,61059,-13768,-18.399775482112073,758886,25.06,0.05,-0.25,-83.33333333333334,0,430200,0,0,334000,0.05,20133.15,21000,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE21000.00,2838,-1808,-38.91519586741283,4429,41.44,867.3,-2.300000000000068,-0.2644894204231909,7700,7600,100,865.75,50,868,20133.15
74,21050,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE21050.00,3709,1250,50.8336722244815,57032,26.36,0.05,-0.2,-80,0,88600,0,0,8300,0.05,20133.15,21050,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE21050.00,2,2,0,6,38.08,914.65,-662.9,-42.02085512345092,6900,6300,600,901.4,1000,977.95,20133.15
75,21100,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE21100.00,13304,-606,-4.356578001437814,187602,27.66,0.05,-0.25,-83.33333333333334,0,155250,0,0,88400,0.05,20133.15,21100,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE21100.00,37,-2,-5.128205128205129,8,0,961.2,-274.79999999999995,-22.23300970873786,6900,6950,600,951.35,50,968.15,20133.15
76,21150,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE21150.00,6035,1367,29.284490145672667,70652,28.95,0.05,-0.2,-80,0,75250,0,0,850,0.05,20133.15,21150,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE21150.00,4,4,0,6,41.49,1014.6,-645.1,-38.86847020545881,6900,6300,600,1001.4,1000,1086.05,20133.15
77,21200,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE21200.00,9103,2531,38.511868533171025,94202,31.94,0.05,-0.2,-80,0,83750,0,0,7600,0.05,20133.15,21200,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE21200.00,34,-2,-5.555555555555555,4,80.25,1109,34.65000000000009,3.2252059384744354,6900,6900,600,1051.35,600,1081.45,20133.15
78,21250,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE21250.00,5918,3934,198.28629032258064,76689,33.27,0.05,-0.2,-80,3050,80300,3050,0.05,3600,0.1,20133.15,21250,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE21250.00,8,7,700,9,43.27,1114.1,-713,-39.02358929451043,6900,4500,600,1101.4,1000,1183.2,20133.15
79,21300,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE21300.00,7689,5307,222.79596977329976,64731,34.6,0.05,-0.2,-80,28000,71450,28000,0.05,7200,0.1,20133.15,21300,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE21300.00,35,0,0,4,78.01,1195.45,-239.75,-16.704988851727983,6900,6900,600,1151.35,600,1181.45,20133.15
80,21350,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE21350.00,1734,803,86.25134264232008,54651,35.92,0.25,0,0,6200,70400,6200,0.05,1800,0.15,20133.15,21350,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE21350.00,0,0,0,0,0,0,0,0,6300,5250,1800,1138.5,1750,1317.45,20133.15
81,21400,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE21400.00,3675,604,19.667860631716053,59653,35.29,0.2,-0.04999999999999999,-19.999999999999996,0,65650,0,0,100,0.25,20133.15,21400,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE21400.00,0,0,0,7,84.32,1297.9,-573.1999999999998,-30.634386189941736,6900,6900,600,1251.35,600,1281.45,20133.15
82,21450,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE21450.00,5955,4173,234.17508417508418,80195,36.54,0.05,-0.2,-80,0,96300,0,0,11400,0.05,20133.15,21450,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE21450.00,0,0,0,13,86.72,1347.9,-566.3999999999999,-29.587838896724644,6300,6300,1800,1236.4,1000,1391.3,20133.15
83,21500,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE21500.00,21306,-14258,-40.0911033629513,212207,37.78,0.05,-0.2,-80,0,104650,0,0,23150,0.05,20133.15,21500,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE21500.00,1596,-1638,-50.64935064935065,3314,54.79,1364.95,-5.9500000000000455,-0.43402144576555873,7600,7500,600,1351.35,600,1381.45,20133.15
84,21550,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE21550.00,2334,1340,134.80885311871228,26774,41.14,0.05,-0.2,-80,8000,107250,8000,0.05,1250,0.15,20133.15,21550,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE21550.00,0,0,0,0,0,0,0,0,6300,6300,1800,1330.8,1000,1489.2,20133.15
85,21600,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE21600.00,5572,999,21.845615569647933,53725,40.25,0.05,-0.2,-80,0,72250,0,0,1200,0.05,20133.15,21600,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE21600.00,11,0,0,7,124.38,1560,-193,-11.00969766115231,6900,6900,600,1446.3,600,1481.45,20133.15
86,21650,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE21650.00,8141,6315,345.8378970427163,69914,43.71,0.1,-0.19999999999999998,-66.66666666666666,30600,84200,30600,0.05,400,0.1,20133.15,21650,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE21650.00,0,0,0,0,0,0,0,0,6300,6300,1750,1415.05,1000,1582.15,20133.15
87,21700,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023CE21700.00,25747,-12481,-32.64884377942869,124815,42.7,0.05,-0.2,-80,0,111700,0,0,1750,0.05,20133.15,21700,30-Nov-2023,NIFTY,OPTIDXNIFTY30-11-2023PE21700.00,88,-25,-22.123893805309734,39,61.63,1564.95,-5.25,-0.33435231180741304,6900,7500,600,1546.3,600,1581.45,20133.15
